id,name,short_hand,type,ratio_to_parent,ratio_type,parent_id
75440494-8cb2-49ff-a22d-77ffe50f52b4,exabits,Eb,DATA,144115188075855870,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
b59bb534-a3e8-491b-8509-c2ea9a3f8da0,exabytes,EB,DATA,1152921504606847000,BIG_DECIMAL,7f61e93f-f34d-4724-8b87-50d952a7c01b
ccb6fe74-2bf4-4c2b-9833-737da60d82eb,United States Dollar,$,CURRENCY,NULL,NULL,NULL
a192af9a-1f80-4368-9083-df16bd291f1f,Australian Dollar,A$,CURRENCY,AUD,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
ec2d49be-3802-41d5-9b89-5d0856be1e01,British Pound Sterling,£,CURRENCY,GBP,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
56a6b55d-c5bd-4f8f-8fc6-000ad0500684,Bulgarian lev,лв,CURRENCY,BGN,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
3f1997ac-5667-40d1-aa1b-a64fe9cb640e,Canadian Dollar,CA$,CURRENCY,CAD,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
e8899ed5-fdb6-4faf-996c-15fc3bde8764,Chinese yuan renminbi,CN¥,CURRENCY,CNY,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
835eed31-9e14-4ebd-930d-1dfb7100bc3f,Croatian kuna,kn,CURRENCY,HRK,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
e87497c7-86af-47a9-86d5-615a6ba3c59c,Czech koruna,Kč,CURRENCY,CZK,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
874d630b-e67b-40bc-8bdb-b6baff2bc0fd,Danish Krone,kr,CURRENCY,DKK,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
e68d04a9-725c-41f0-8a59-f3b968560a2f,Euro,€,CURRENCY,EUR,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
882de6f9-c467-4314-8bee-8f563af0428a,Hong Kong Dollar,HK$,CURRENCY,HKD,CURRENCY,ccb6fe74-2bf4-4c2b-9833-737da60d82eb
